x1,y1,x2,y2,x3,y3,x4,y4,t
37478,-50209,-3062736,-4029936,-1134864,19742,45326,-402,0.0
37511,-50254,-3240992,-3862160,-1136830,19776,45474,-403,0.0
37543,-50299,-3419248,-3694384,-1138796,19809,45623,-404,0.0
37576,-50345,-3597520,-3526624,-1140762,19843,45771,-406,0.0
37609,-50390,-3775776,-3358848,-1142728,19877,45919,-407,0.0
37642,-50435,-3954032,-3191072,-1144695,19910,46068,-408,0.0
37674,-50480,-4132288,-3023296,-1146661,19944,46216,-410,0.0
37707,-50525,-4310544,-2855520,-1148627,19978,46365,-411,0.0
38264,-51291,-7340928,-3408,-1182050,20550,48889,-433,0.0
38297,-51336,-7519184,164368,-1184016,20584,49038,-434,0.0
38330,-51381,-7697440,332144,-1185982,20617,49186,-436,0.0
38362,-51426,-7875696,499920,-1187948,20651,49335,-437,0.0
38395,-51471,-8053968,667680,-1189914,20685,49483,-438,0.0
38428,-51516,-8232224,835456,-1191880,20718,49631,-439,0.0
38461,-51561,8366736,1003232,-1193847,20752,49780,-441,0.0
38494,-51606,8188480,1171008,-1195813,20786,49928,-442,0.0
38526,-51651,8010224,1338784,-1197779,20819,50077,-443,0.0
38559,-51696,7831968,1506544,-1199745,20853,50225,-445,0.0
38592,-51741,7653712,1674320,-1201711,20887,50374,-446,0.0
38625,-51786,7475456,1842096,-1203677,20921,50522,-447,0.0
38657,-51831,7297184,2009872,-1205643,20954,50671,-448,0.0
38690,-51876,7118928,2177632,-1207609,20988,50819,-450,0.0
38723,-51921,6940672,2345408,-1209575,21022,50968,-451,0.0
38756,-51967,6762416,2513184,-1211541,21055,51116,-452,0.0
38788,-52012,6584160,2680960,-1213507,21089,51265,-454,0.0
38821,-52057,6405904,2848720,-1215473,21123,51413,-455,0.0
38854,-52102,6227648,3016496,-1217440,21156,51562,-456,0.0
38887,-52147,6049392,3184272,-1219406,21190,51710,-458,0.0
38920,-52192,5871120,3352048,-1221372,21224,51859,-459,0.0
38952,-52237,5692864,3519808,-1223338,21257,52007,-460,0.0
38985,-52282,5514608,3687584,-1225304,21291,52156,-461,0.0
39018,-52327,5336352,3855360,-1227270,21325,52304,-463,0.0
39051,-52372,5158096,4023136,-1229236,21358,52453,-464,0.0
39083,-52417,4979840,4190896,-1231202,21392,52601,-465,0.0
39116,-52462,4801584,4358672,-1233168,21426,52750,-467,0.0
39149,-52507,4623328,4526448,-1235134,21459,52898,-468,0.0
39182,-52552,4445072,4694224,-1237100,21493,53047,-469,0.0
39214,-52597,4266800,4861984,-1239066,21527,53195,-470,0.0
39247,-52642,4088544,5029760,-1241032,21560,53343,-472,0.0
39280,-52687,3910288,5197536,-1242999,21594,53492,-473,0.0
39313,-52733,3732032,5365312,-1244965,21628,53640,-474,0.0
39346,-52778,3553776,5533072,-1246931,21661,53789,-476,0.0
39378,-52823,3375520,5700848,-1248897,21695,53937,-477,0.0
39411,-52868,3197264,5868624,-1250863,21729,54086,-478,0.0
39444,-52913,3019008,6036400,-1252829,21760,54234,-480,0.0
39477,-52958,2840736,6204176,-1254795,21791,54383,-481,0.0
39509,-53003,2662480,6371936,-1256761,21822,54531,-482,0.0
39542,-53048,2484224,6539712,-1258727,21853,54680,-483,0.0
39575,-53093,2305968,6707488,-1260693,21884,54828,-485,0.0
39640,-53183,1949456,7043024,-1264625,21947,55125,-487,0.1967458724975586
39673,-53228,1771200,7210800,-1266592,21978,55274,-489,0.1967458724975586
39706,-53273,1592944,7378576,-1268558,22009,55422,-490,0.1967458724975586
39771,-53363,1236416,7714112,-1272490,22071,55719,-493,0.43276500701904297
39804,-53408,1058160,7881888,-1274456,22102,55868,-494,0.43276500701904297
39903,-53544,523392,8385200,-1280354,22195,56313,-498,0.7048079967498779
39935,-53589,345136,-8224240,-1282320,22226,56462,-499,0.7048079967498779
40001,-53679,-11376,-7888688,-1286252,22288,56759,-502,0.9851186275482178
40034,-53724,-189648,-7720928,-1288218,22320,56907,-503,0.9851186275482178
40066,-53769,-367904,-7553152,-1290184,22351,57055,-504,0.9851186275482178
40099,-53814,-546160,-7385376,-1292151,22382,57204,-505,0.9851186275482178
40165,-53904,-902672,-7049840,-1296083,22444,57501,-508,1.2852473258972168
40197,-53949,-1080928,-6882064,-1298049,22475,57649,-509,1.2852473258972168
40230,-53994,-1259184,-6714288,-1300015,22506,57798,-511,1.2852473258972168
40263,-54039,-1437440,-6546512,-1301981,22537,57946,-512,1.2852473258972168
40329,-54129,-1793968,-6210976,-1305913,22599,58243,-515,1.5967762470245361
40361,-54174,-1972224,-6043200,-1307879,22630,58392,-516,1.5967762470245361
40394,-54219,-2150480,-5875424,-1309845,22662,58540,-517,1.5967762470245361
40460,-54309,-2506992,-5539888,-1313777,22724,58837,-520,1.7657215595245361
40492,-54355,-2685248,-5372112,-1315744,22755,58986,-521,1.7657215595245361
40558,-54445,-3041760,-5036560,-1319676,22817,59283,-524,1.8622686862945557
40623,-54535,-3398288,-4701024,-1323608,22879,59580,-526,2.0276052951812744
40689,-54625,-3754800,-4365472,-1327540,22941,59877,-529,2.161790370941162
40755,-54715,-4111312,-4029936,-1331472,23003,60174,-531,2.262371063232422
40820,-54805,-4467824,-3694384,-1335404,23066,60471,-534,2.4304919242858887
40886,-54895,-4824352,-3358848,-1339336,23128,60767,-537,2.570227861404419
40918,-54940,-5002608,-3191072,-1341303,23159,60916,-538,2.570227861404419
40984,-55030,-5359120,-2855536,-1345235,23221,61213,-540,2.727980852127075
41049,-55120,-5715632,-2519984,-1349167,23283,61510,-543,2.878680944442749
41115,-55211,-6072160,-2184432,-1353099,23345,61807,-546,2.966548204421997
41181,-55301,-6428672,-1848896,-1357031,23408,62104,-548,3.1325318813323975
41246,-55391,-6785184,-1513344,-1360963,23470,62401,-551,3.2805800437927246
41279,-55436,-6963440,-1345584,-1362929,23501,62549,-552,3.2805800437927246
41344,-55526,-7319952,-1010032,-1366862,23563,62846,-555,3.4404702186584473
41410,-55616,-7676480,-674496,-1370794,23625,63143,-557,3.5775341987609863
41475,-55706,-8032992,-338944,-1374726,23687,63440,-560,3.6791114807128906
41541,-55796,-8375392,-3408,-1378658,23750,63737,-562,3.8466663360595703
41574,-55841,8234048,164368,-1380624,23781,63886,-564,3.8466663360595703
41639,-55931,7898512,499920,-1384556,23843,64183,-566,3.982250452041626
41705,-56022,7562960,835456,-1388488,23905,64479,-569,4.143200635910034
41770,-56112,7227424,1171008,-1392421,23967,64776,-572,4.285975933074951
41836,-56202,6891872,1506544,-1396353,24029,65073,-574,4.380894422531128
41901,-56292,6556336,1842096,-1400285,24091,65370,-577,4.485659599304199
41967,-56382,6220784,2177632,-1404217,24154,65667,-579,4.657166004180908
42000,-56427,6053008,2345408,-1406183,24185,65816,-581,4.657166004180908
42032,-56472,5885248,2513184,-1408149,24216,65964,-582,4.809650421142578
42065,-56517,5717472,2680960,-1410115,24247,66113,-583,4.809650421142578
42131,-56607,5381920,3016496,-1414048,24309,66410,-586,5.020614385604858
42164,-56652,5214160,3184272,-1416014,24340,66558,-587,5.020614385604858
42229,-56742,4878608,3519808,-1419946,24402,66855,-590,5.255769729614258
42262,-56788,4710832,3687584,-1421912,24433,67004,-591,5.255769729614258
42295,-56833,4543072,3855360,-1423878,24465,67152,-592,5.255769729614258
42360,-56923,4207520,4190896,-1427810,24527,67449,-595,5.471384525299072
42393,-56968,4039744,4358672,-1429776,24558,67598,-596,5.471384525299072
42458,-57058,3704208,4694224,-1433708,24620,67895,-599,5.677461862564087
42491,-57103,3536432,4861984,-1435674,24651,68043,-600,5.677461862564087
42590,-57238,3033120,5365312,-1441573,24744,68488,-604,5.874323129653931
42655,-57328,2697568,5700848,-1445505,24806,68785,-606,5.974335193634033
42721,-57418,2362032,6036400,-1449437,24869,69082,-609,6.139173269271851
42786,-57508,2026480,6371936,-1453369,24931,69379,-612,6.3050360679626465
42819,-57553,1858704,6539712,-1455335,24962,69528,-613,6.3050360679626465
42884,-57644,1523168,6875264,-1459267,25024,69825,-616,6.502848386764526
42917,-57689,1355392,7043024,-1461233,25055,69973,-617,6.502848386764526
42983,-57779,1019856,7378576,-1465166,25117,70270,-619,6.606744050979614
43048,-57869,684304,7714112,-1469098,25180,70567,-622,6.770070552825928
43081,-57914,516528,7881888,-1471064,25211,70716,-623,6.770070552825928
43114,-57959,348768,8049664,-1473030,25242,70864,-625,6.926821947097778
43147,-58004,180992,8217440,-1474996,25273,71013,-626,6.926821947097778
43212,-58094,-154560,-8224240,-1478928,25335,71310,-629,7.138420104980469
43245,-58139,-322320,-8056464,-1480894,25366,71458,-630,7.138420104980469
43310,-58229,-657872,-7720928,-1484826,25428,71755,-632,7.3444061279296875
43343,-58274,-825648,-7553152,-1486792,25459,71903,-634,7.345405101776123
43409,-58365,-1161184,-7217600,-1490725,25521,72200,-636,7.544375419616699
43442,-58410,-1328960,-7049840,-1492691,25553,72349,-638,7.544375419616699
43507,-58500,-1664512,-6714288,-1496623,25615,72646,-640,7.64070463180542
43573,-58590,-2000048,-6378736,-1500555,25677,72943,-643,7.802099227905273
43605,-58635,-2167824,-6210976,-1502521,25708,73091,-644,7.802099227905273
43638,-58680,-2335600,-6043200,-1504487,25739,73240,-645,7.967705011367798
43671,-58725,-2503360,-5875424,-1506453,25770,73388,-647,7.967705011367798
43736,-58815,-2838912,-5539888,-1510385,25832,73685,-649,8.17430830001831
43769,-58860,-3006688,-5372112,-1512352,25863,73834,-651,8.17430830001831
43835,-58950,-3342224,-5036560,-1516284,25926,74131,-653,8.371055364608765
43867,-58995,-3510000,-4868800,-1518250,25957,74279,-654,8.371055364608765
43933,-59085,-3845536,-4533248,-1522182,26019,74576,-657,8.470303773880005
43999,-59176,-4181088,-4197712,-1526114,26081,74873,-660,8.63962197303772
44064,-59266,-4516624,-3862160,-1530046,26143,75170,-662,8.795063734054565
44097,-59311,-4684400,-3694384,-1532012,26174,75319,-663,8.795063734054565
44162,-59401,-5019952,-3358848,-1535944,26236,75615,-666,8.861135721206665
44195,-59446,-5187728,-3191072,-1537911,26268,75764,-667,8.997433185577393
44261,-59536,-5523264,-2855536,-1541843,26330,76061,-670,9.242895364761353
44293,-59581,-5691040,-2687760,-1543809,26361,76209,-671,9.242895364761353
44326,-59626,-5858816,-2519984,-1545775,26392,76358,-673,9.242895364761353
44392,-59716,-6194352,-2184448,-1549707,26454,76655,-675,9.455663442611694
44425,-59761,-6362128,-2016672,-1551673,26485,76803,-676,9.455663442611694
44490,-59851,-6697664,-1681120,-1555605,26547,77100,-679,9.661351919174194
44523,-59896,-6865440,-1513344,-1557571,26578,77249,-680,9.661351919174194
44588,-59987,-7200992,-1177808,-1561504,26641,77546,-683,9.733805418014526
44654,-60077,-7536528,-842256,-1565436,26703,77843,-686,9.872534990310669
